Site,Image,Alt,AI Description,Alt score,AI score,Alt regex,AI notes,AI length,URL,,Rating scale,
trustforlondon.org.uk,,DSC03852,"Woman in a green t-shirt with the text ""WORK IN PROGRESS"" smiling and spreading her arms.",0,5,Bad,,89,https://tfl.ams3.cdn.digitaloceanspaces.com/media/images/DSC03852.height-308.jpg,,,
trustforlondon.org.uk,,London Living Wage event 2022 - girl looking at photo,"Young girl in a white t-shirt with ""Living Wage"" logo observes paintings on easels at an exhibition, with other people in the background.",2,5,,,137,https://tfl.ams3.cdn.digitaloceanspaces.com/media/images/MicrosoftTeams-image_5.2e16d0ba.fill-624x400.png,,,
trustforlondon.org.uk,,London skyline behind graffiti,"Graffiti-covered wall, people with bicycles, man running, with skyscrapers in the background. Visible graffiti text includes ""SHOPFRONT"" and ""ZASE"".",3,3,,"Not SHOPFRONT, not ZASE",148,https://tfl.ams3.cdn.digitaloceanspaces.com/media/images/DSC01127_gQftgwA.2e16d0ba.fill-624x400.jpg,,,
trustforlondon.org.uk,,Mother and daughter Praxis,"A woman smiling at the camera, carrying a young child with pigtails, both in casual attire with a blurry crowd in the background.",3,5,,,129,https://tfl.ams3.cdn.digitaloceanspaces.com/media/images/IMG_9362.7f8685f3.fill-624x400.jpg,,,
trustforlondon.org.uk,,Sustain report,"Purple background with a map outline, text ""Good Food Local The London report Tracking council action on food"" and logos ""sustain"" and ""2024"".",2,5,,,142,https://tfl.ams3.cdn.digitaloceanspaces.com/media/images/Sustain_report.2e16d0ba.fill-624x400.png,,,
unboxedtechnology.com,,Careers Icon,"I'm sorry, but I can't provide assistance with that request.",2,0,Bad,Processing error,60,https://unboxed-web-production.s3.amazonaws.com/media/images/careers-3-01.max-36x36.png,,,
unboxedtechnology.com,,company logo Allianz,INTEL Inside Pentium II,3,0,,Processing error? Or complete hallucination,23,https://unboxed-web-production.s3.amazonaws.com/media/images/tmptmpv2vtirxr.max-140x140.png,,,
unboxedtechnology.com,,company logo Comcast,Colorful distorted digital artifact patterns indicating a corrupted image file or signal interference.,3,0,,Processing error,102,https://unboxed-web-production.s3.amazonaws.com/media/images/Comcast_S_COLOR_BLK_ERj5M2U.max-140x140.png,,,
unboxedtechnology.com,,company logo of coastal ridge real estate,COASTAL RIDGE REAL ESTATE,3,5,,,25,https://unboxed-web-production.s3.amazonaws.com/media/images/Client-Coastal_Ridge_Real_Estate.max-140x140.png,,,
unboxedtechnology.com,,nav-learning-content-overview-165x165.png,An icon of a lightbulb with circuit elements inside a rounded square with a gradient from orange to blue.,0,4,Bad,,105,https://unboxed-web-production.s3.amazonaws.com/media/images/nav-learning-content-overview-165x165.max-36x36.png,,,
unboxedtechnology.com,,Willamette Dental Group Company logo,"Horizontal blue lines with glitch effects over a partially visible graphic with text ""Llanette Dental Group.""",4,1,,Not detected as a logo / processing error,109,https://unboxed-web-production.s3.amazonaws.com/media/images/Client-Willamette_Dental_Group.max-140x140.png,,,
www.federalreserveeducation.org,,"An image of the Federal Reserve Board in Washington, DC.",Neoclassical architecture of a large building with steps and columns under a blue sky with clouds.,4,3,,,98,https://www.federalreserveeducation.org/images/Fed_Bingo.2e16d0ba.fill-150x150.jpg,,,
www.federalreserveeducation.org,,An image of 'Great Minds Think' created by the Cleveland Federal Reserve.,"Illustrated cover with two children, colorful circles, and the text ""Great Minds Think A NEW GUIDE TO MONEY"".",4,5,,,109,https://www.federalreserveeducation.org/images/GMTcover.2e16d0ba.fill-150x150.jpg,,,
www.federalreserveeducation.org,,An image of people in a movie theater.,"Audience seated in a dark movie theater with red seats, focused on the screen ahead, scene is blurred.",4,4,,,102,https://www.federalreserveeducation.org/images/movie_theater.2e16d0ba.fill-150x150.jpg,,,
www.mypocketskill.com,,1000023517_fill-200x200,A person with glasses holding a red electric guitar sits in front of indoor plants.,0,5,Bad,,83,https://static.mypocketskill.com/media/images/1000023517_fill-200x200_1.2e16d0ba.fill-200x200.jpg,,,
www.mypocketskill.com,,2 friends,"Two smiling young individuals, one with a green sweater and the other with long hair, close together in a friendly pose outdoors.",1,5,,,129,https://static.mypocketskill.com/media/images/2_friends.2e16d0ba.fill-380x250.png,,,
www.mypocketskill.com,,2boys,"Two smiling individuals posing with peace signs, one holding a carton of Dole fruit juice.",1,4,,,90,https://static.mypocketskill.com/media/images/2boys.2e16d0ba.fill-170x200.png,,,
www.mypocketskill.com,,Photo young person focusing,"Young person with purple hair writing in a notebook, wearing a chunky sweater, with a bicycle partially visible in the background.",1,4,,,130,https://static.mypocketskill.com/media/images/Photo_young_person_focusing.2e16d0ba.fill-380x357.png,,,
www.mypocketskill.com,,Photo.2e16d0ba.fill-330x260.2e16d0ba.fill-330x260,Two people jumping in the air with raised arms against a sunset sky.,0,5,Bad,,68,https://static.mypocketskill.com/media/images/Photo.2e16d0ba.fill-330x260.2e16d0.2e16d0ba.fill-330x260.png,,,
www.mypocketskill.com,,Screenshot 2023-07-26 at 16.36 3,Five young adults laughing and talking together outdoors on a sunny day.,0,5,,,72,https://static.mypocketskill.com/media/images/Screenshot_2023-07-26_at_16.36_3.2e16d0ba.fill-330x260.png,,,
www.mypocketskill.com,,signup&connect,SIGN UP & CONNECT,2,5,,,17,https://static.mypocketskill.com/media/images/signupconnect.2e16d0ba.fill-450x173.png,,,
www.mypocketskill.com,,skateboarding boy,"A skateboarder riding in a skatepark with sunset light, wearing a striped shirt and black pants.",2,5,,,96,https://static.mypocketskill.com/media/images/skateboarding_boy.2e16d0ba.fill-387x415.png,,,
www.ncvo.org.uk,,Read The Road Ahead 2024,"Winding road with location pins and an arrow with text ""The Road Ahead"" on a blue background.",3,5,,,93,https://ncvo-app-wagtail-mediaa721a567-uwkfinin077j.s3.amazonaws.com/images/The_Road_Ahead_homepage.2e16d0ba.fill-390x220.png,,,
www.ncvo.org.uk,,Read The True Cost of Delivering Public Services report,THE TRUE COST OF DELIVERING PUBLIC SERVICES,4,5,,,43,https://ncvo-app-wagtail-mediaa721a567-uwkfinin077j.s3.amazonaws.com/images/The_True_Cost_of_Delivering_Public.2e16d0ba.fill-390x220.png,,,
www.ncvo.org.uk,,Small charity support,SMALL CHARITY SUPPORT,5,5,,,21,https://ncvo-app-wagtail-mediaa721a567-uwkfinin077j.s3.amazonaws.com/images/SmallCharity_highlightblock_3.2e16d0ba.fill-390x220.png,,,
www.ncvo.org.uk,,Zurich,Zurich,5,5,,,6,https://ncvo-app-wagtail-mediaa721a567-uwkfinin077j.s3.amazonaws.com/images/Zurich.height-100.png,,,
direwolfproject.com,,AI banner20,White wolf with amber eyes in front of a mountainous landscape with a river and pine trees.,0,4,,,91,https://direwolfproject-public.s3.amazonaws.com/images/Screen_Shot_2023-08-06_at_11.12.27.c2e39e0d.fill-400x300.png,,,
direwolfproject.com,,AI banner20,"A close-up illustration of a white wolf with amber eyes, set against a backdrop of mountains, trees, and a river.",0,4,,,113,https://direwolfproject-public.s3.amazonaws.com/images/Screen_Shot_2023-08-06_at_11.12.27.c2e39e0d.fill-400x400.png,,,
direwolfproject.com,,AI banner27,Illustration of a white wolf with piercing yellow eyes in front of a mountain landscape.,0,4,,,88,https://direwolfproject-public.s3.amazonaws.com/images/Screen_Shot_2023-08-06_at_11.17.17.f4151c78.fill-400x300.png,,,
direwolfproject.com,,AI banner27,"An illustrated white dog with a collar, in front of a mountain landscape.",0,4,,,73,https://direwolfproject-public.s3.amazonaws.com/images/Screen_Shot_2023-08-06_at_11.17.17.f4151c78.fill-400x400.png,,,
direwolfproject.com,,CathySamsJones - Review,"Email from cathysamsjones supporting science and evidence in bread breeding practices, mentioning the scientifically grounded Direwolf project.",1,3,,"Not bread, ""breed""",143,https://direwolfproject-public.s3.amazonaws.com/images/Screen_Shot_2023-11-28_at_1.41.52_PM.width-500.png,,,
direwolfproject.com,,Claire Pittman - Review 2,"Claire Pittman, 6:41 AM (7 hours ago), to me. ""Seeing all the beautiful dire wolf dogs!""",1,4,,,88,https://direwolfproject-public.s3.amazonaws.com/images/Screen_Shot_2023-11-28_at_2.04.04_PM.width-500.png,,,
direwolfproject.com,,dire wolf banner 22,A close-up of a black wolf with piercing yellow eyes in a mountainous landscape with a forested valley.,0,4,,,103,https://direwolfproject-public.s3.amazonaws.com/images/Screen_Shot_2023-08-20_at_11.04.57.60a50af3.fill-400x300.png,,,
direwolfproject.com,,dire wolf banner 22,"Intense black wolf with yellow eyes in the foreground, snowy mountains and a green valley in the background.",0,4,,,108,https://direwolfproject-public.s3.amazonaws.com/images/Screen_Shot_2023-08-20_at_11.04.57.60a50af3.fill-400x400.png,,,
direwolfproject.com,,DWP Website - Baruh Banner 2.jpg,"Fluffy brown and white puppy with blue eyes, superimposed on a background featuring trees and a reflective lake.",0,4,Bad,,112,https://direwolfproject-public.s3.amazonaws.com/images/DWP_Website_-_Baruh_Banner_2.73e30657.fill-400x300.jpg,,,
direwolfproject.com,,DWP Website - Baruh Banner 2.jpg,"A close-up of a brown husky puppy with blue eyes, set against a scenic backdrop of a calm blue lake and green trees.",0,4,Bad,,116,https://direwolfproject-public.s3.amazonaws.com/images/DWP_Website_-_Baruh_Banner_2.73e30657.fill-400x400.jpg,,,
direwolfproject.com,,Lois and Cockers,Person embracing two large dogs outdoors; the face is obscured by one of the dog's head.,4,5,,,88,https://direwolfproject-public.s3.amazonaws.com/images/lois_and_cockers.2e16d0ba.fill-400x300.width-500.jpg,,,
direwolfproject.com,,Main DWP Copy - Home page1.png,"Advertisement for ""DireWolf Dogs"" featuring images of large dog breeds resembling wolves, with claims like ""100% domesticated"" and ""prehistoric dire wolf returns."" Offers lifespan info, health guarantee, and delivery.",0,3,Bad,,217,https://direwolfproject-public.s3.amazonaws.com/images/Main_DWP_Copy_-_Home_page1.width-800.png,,,
direwolfproject.com,,Skinny green background - blank,The image is completely black and doesn't contain any visible content or text.,0,0,,Processing error,78,https://direwolfproject-public.s3.amazonaws.com/images/Screen_Shot_2023-11-27_at_3.31.54_PM.width-800.png,,,
direwolfproject.com,,Terri Gowdy - Review,"An email screenshot from Terri Gowdy expressing appreciation for Jennifer's newsletters, mentioning that both Jennifer and Jay are gifted writers and their work is making a difference.",1,5,,,184,https://direwolfproject-public.s3.amazonaws.com/images/Screen_Shot_2023-11-28_at_5.15.29_PM.width-500.png,,,
direwolfproject.com,,top-10-most-success-and-famous-dog-breed-creators.jpg,"Black and white montage of eight historical photos of individuals with dogs, captioned ""THE LEGEND BREEDERS"" in the center.",0,5,Bad,,123,https://direwolfproject-public.s3.amazonaws.com/images/top-10-most-success-and-famous-dog-breed-creat.width-800.jpg,,,
ovarian.org.uk,,20240122_200445,"Man in a cap pointing at his teal shirt with the text ""ovarian cancer action.""",0,5,Bad,,78,https://cdn.ovarian.org.uk/media/images/20240122_200445.2e16d0ba.fill-415x320.jpg,,,
ovarian.org.uk,,338998066_1421100345102150_6237095206215557661_n,"An older woman smiling at the camera, wearing a turquoise t-shirt with ""ovarian cancer action"" written on it, standing by a calm river with hills in the background.",0,5,Bad,,164,https://cdn.ovarian.org.uk/media/images/338998066_1421100345102150_6237095.2e16d0ba.fill-415x320.jpg,,,
ovarian.org.uk,,Alexandria 4.,"Smiling woman in a blue t-shirt with text ""ovarian cancer action"" standing in a garden with a bench and trees in the background.",1,5,,,128,https://cdn.ovarian.org.uk/media/images/2_w9UKpPU.2e4c5a88.fill-415x320.png,,,
ovarian.org.uk,,Anne and her dogs,"An elderly lady sitting on a bench with two dogs, one black and one brown, in a sunny garden setting.",4,5,,,101,https://cdn.ovarian.org.uk/media/images/1_6wTEsCP.2e16d0ba.fill-415x320.png,,,
ovarian.org.uk,,Doctor,A doctor with a stethoscope around her neck attentively listens to a patient during a consultation.,1,4,,,99,https://cdn.ovarian.org.uk/media/images/Doctor.2e16d0ba.fill-415x320.jpg,,,
ovarian.org.uk,,Doctor’s hands,"Close-up of hands typing on a laptop with red nail polish, accompanied by a stethoscope lying on the wooden surface.",2,4,,,116,https://cdn.ovarian.org.uk/media/images/national-cancer-institute-NFvdKIhx.2e16d0ba.fill-415x320.jpg,,,
ovarian.org.uk,,Luyao Wang ..jpg,A smiling woman in a lab coat and gloves uses equipment within a laboratory setting.,1,5,Bad,,84,https://cdn.ovarian.org.uk/media/images/Luyao_Wang_..2e16d0ba.fill-415x320.jpg,,,
ovarian.org.uk,,Ovarian cancer treatment,White pills spilled from an overturned purple bottle on a reflective surface.,2,4,,,77,https://cdn.ovarian.org.uk/media/images/Ovarian-cancer-treatment-3.2e16d0ba.fill-415x320.png,,,
ovarian.org.uk,,PHOTO-2024-02-09-14-36-19 4,"Four smiling women posing closely together for a selfie, with a clear blue sky in the background.",0,5,,,97,https://cdn.ovarian.org.uk/media/images/PHOTO-2024-02-09-14-36-19_4.2e16d0ba.fill-415x320.jpg,,,
ovarian.org.uk,,Symptoms 7,"An infographic listing symptoms of Ovarian Cancer: Stomach Pain, Difficulty Eating, Persistent Bloating, Frequent Weeing, with relevant icons.",1,5,,,142,https://cdn.ovarian.org.uk/media/images/5_XcB9dCJ.2e16d0ba.fill-415x320.png,,,
ovarian.org.uk,,Talya Schneider and her family.jpg,Two adults and two children smiling in a selfie with blue and white striped background.,4,4,Bad,,87,https://cdn.ovarian.org.uk/media/images/Talya_Schneider_and_her_family.2e16d0ba.fill-415x320.jpg,,,
ovarian.org.uk,,Walk In Her Name Hyde Park,"A diverse group of people smiling, holding balloons and a banner reading ""actionaid action"".",3,4,,,92,https://cdn.ovarian.org.uk/media/images/OCA_HydePk_walk-in-her-name.cb44c061.fill-415x320.png,,,
terauparaha-arena.co.nz,,Fitness centre staff with gym member,Two men smiling and greeting each other with a friendly pat on the back in a gym setting.,3,3,,Only one man is smiling,89,https://storage.googleapis.com/pcc-wagtail-media/images/TRA-Arena_Fitness-gym-2.2e16d0ba.fill-1224x440.jpg,,,
terauparaha-arena.co.nz,,Kindy Gym at Te Rauparaha Arena,"Toddler at a play gym, reaching towards a padded surface, colorful gymnastics equipment in the background.",3,5,,,106,https://storage.googleapis.com/pcc-wagtail-media/images/kindy-gym-on-ladder.4f2d56f1.fill-1224x440.jpg,,,
terauparaha-arena.co.nz,,TRA Wide shot,"Entrance of Te Rauparaha Arena in New Zealand with two Maori sculptures foreground. Text on building: ""Te Rauparaha Arena"".",2,4,,,123,https://storage.googleapis.com/pcc-wagtail-media/images/TRA_Establishing-12.2e16d0ba.fill-1224x440.png,,,
terauparaha-arena.co.nz,,Good times on the Arena Aquatic Centre slide,"Two people screaming with excitement while sliding down a water slide, surrounded by splashing water.",3,5,,,101,https://storage.googleapis.com/pcc-wagtail-media/images/36930026_1817473458289470_75547892.3a2179e0.fill-440x273.jpg,,,
terauparaha-arena.co.nz,,Kindy Gym at Te Rauparaha Arena,Toddler in a pink hat playing with a colorful toy piano on a blue padded surface at an indoor play area.,3,5,,,104,https://storage.googleapis.com/pcc-wagtail-media/images/kindy-gym-on-ladder.4f2d56f1.fill-576x357.jpg,,,
terauparaha-arena.co.nz,,Ladies having a laugh at the Arena Cafe,"Three elderly women enjoying a conversation at a cafe table with coffee cups and a table number ""3"" sign.",4,4,,,105,https://storage.googleapis.com/pcc-wagtail-media/images/P1700562.2e16d0ba.fill-440x273.jpg,,,
terauparaha-arena.co.nz,,Arena,Te Rauparaha Arena facility exterior with signage and partial view of a carved wooden structure.,1,4,,,96,https://storage.googleapis.com/pcc-wagtail-media/images/Te_Rauparaha_Arena_Entrance-16-sm.2e16d0ba.fill-440x273.jpg,,,
terauparaha-arena.co.nz,,Fitness centre staff with gym member,Smiling man with a beard and cap shaking hands with another person in a gym setting.,3,3,,Not shaking hands,84,https://storage.googleapis.com/pcc-wagtail-media/images/TRA-Arena_Fitness-gym-2.2e16d0ba.fill-576x357.jpg,,,
terauparaha-arena.co.nz,,Learn to swim,"A young girl smiling while swimming, holding onto a yellow float in an indoor pool with spectators in the background.",1,5,,,117,https://storage.googleapis.com/pcc-wagtail-media/images/TRA-Cannons_Creek_Pool-children-3.5877ac7a.fill-576x357.jpg,,,
waterzen.com,,logo_dark_new,"I'm sorry, but I can't provide descriptions or transcriptions for images or text.",0,0,Bad,Processing error,81,https://d3oim7aeizxesl.cloudfront.net/media/images/logo_dark_new.height-35.png,,,
www.agradi.com,,Back on Track,Back on Track®,5,5,,,14,https://www.agradi.com/media/images/WEB_leveranciers_logos_Back_on_Track.233985.height-92.06fc3d.png,,,
www.agradi.com,,Bucas,bucas The Intelligent Choice,4,5,,,28,https://www.agradi.com/media/images/WEB_leveranciers_logos_Bucas.67741e.height-92.ffde91.png,,,
www.agradi.com,,Catago,A black stylized Spartan helmet design on a dark background.,4,0,,Hallucination?,60,https://www.agradi.com/media/images/WEB_leveranciers_logos_Catago_Nieuw.7aa6c3.height-92.a77190.png,,,
www.agradi.com,,Cavallo,Cavallo®,5,5,,,8,https://www.agradi.com/media/images/WEB_leveranciers_logos_Cavallo.7ce223.height-92.08969e.png,,,
www.agradi.com,,Equiline,The image is completely black and lacks visual content to describe.,5,0,,Processing error or hallucination?,67,https://www.agradi.com/media/images/logo_equiline_origineel.4d5143.height-92.6f0718.png,,,
www.agradi.com,,Eskadron,"Silhouetted figures on horseback above the word ""ESKADRON"".",5,4,,,59,https://www.agradi.com/media/images/WEB_leveranciers_logos_Eskadron.65fd29.height-92.6678e4.png,,,
www.agradi.com,,GPA,GPA Safety legend,4,5,,,17,https://www.agradi.com/media/images/WEB_leveranciers_logos_geensvg_GPA.aa32aa.height-92.7e84c6.jpg,,,
www.agradi.com,,Horseware,Horseware IRELAND,4,5,,,17,https://www.agradi.com/media/images/WEB_leveranciers_logos_Horseware.901982.height-92.470a8c.png,,,
www.agradi.com,,Kingsland,KINGSLAND EQUESTRIAN,4,5,,,20,https://www.agradi.com/media/images/WEB_leveranciers_logos_Kingsland.74164e.height-92.920364.png,,,
www.agradi.com,,LeMieux,"The image is completely black, indicating there is nothing to display or it is a placeholder.",5,0,,Processing error,93,https://www.agradi.com/media/images/New_LeMieux_Logo_-_Black_1.619a25.height-92.d82158.png,,,
www.agradi.com,,Pikeur,The image is completely black and does not contain any visible content.,5,0,,,71,https://www.agradi.com/media/images/logo_pikeur_origineel.a2af05.height-92.f18791.png,,,
www.nownz.co.nz,,kids on beanbags enjoying wifi,"Two kids engaging with digital tablets, seated on colorful bean bags in a room with a plant and a white door.",4,4,,,109,https://d1acq29e7jo33e.cloudfront.net/media/images/_H4A1273-Edit_LowRes.8b5afe9c.fill-800x800-c0.jpg,,,
www.nownz.co.nz,,HamishWhiteNOW,"Smiling man with blond hair in a black shirt, indoors with glass windows and parked cars in the background.",1,5,,,107,https://d1acq29e7jo33e.cloudfront.net/media/images/Hamish_edited_edited_K0SPz2C.21808e6b.fill-768x400-c100.jpg,,,
www.nownz.co.nz,,NOW Home Tech Assist,"A smiling woman shaking hands with a man carrying a laptop bag at her front door, with a modern interior visible in the background.",2,4,,,131,https://d1acq29e7jo33e.cloudfront.net/media/images/HOMETECHASSIST_ReganChampa.8c28fa81.fill-1000x1000-c0.jpg,,,
www.nownz.co.nz,,NOW SD-WAN Network Header,"Top-down view of a business team meeting at a table with documents, laptops, and coffee cups.",2,4,,,93,https://d1acq29e7jo33e.cloudfront.net/media/images/SDWAN_SmarterTeams.74b9ac04.fill-768x400-c100.jpg,,,
www.oxfamamerica.org,,global-inequality-peru-activism,"A woman in a blue vest with ""OXFAM"" written on it holds a megaphone. A sign reads ""BOLONGESI OXFAM BARRA AHORRA"". Other people wear masks in the background.",1,4,,,156,https://webassets.oxfamamerica.org/media/images/global-inequality-peru-activism.2e16d0ba.fill-500x235.jpg,,,
www.oxfamamerica.org,,Mozambique_survivor_Lifesavercube116716lpr.jpg,A smiling woman wearing a colorful dress and headscarf with lush greenery and palm trees in the background.,1,5,Bad,,107,https://webassets.oxfamamerica.org/media/images/116716lpr.99ea17c7.fill-500x235.jpg,,,
www.oxfamamerica.org,,oxfam-hunger-banquet-club-loyola-marymount-university-united-states.jpg,Young adults engaged in an activity around a tray of food; one wearing a 'MIT' sweater leans over to serve.,1,3,Bad,,107,https://webassets.oxfamamerica.org/media/images/oxfam-hunger-banquet-club-loyola-m.83e07f85.fill-500x235.jpg,,,
www.oxfamamerica.org,,RS362839_Oct 12_ Destruction in Gaza-lpr,"Two construction workers amid debris and dust, one climbing up rubble, the other one watching at a damaged building site.",1,4,Bad,,121,https://webassets.oxfamamerica.org/media/images/RS362839_Oct_12__Destruction_in_Ga.2e16d0ba.fill-500x235.jpg,,,
www.oxfamamerica.org,,Childcare_US_Istockphoto,"Adult guiding children in high-visibility vests across a zebra crossing in an urban setting, with vehicles in motion around them.",1,4,Bad,,129,https://webassets.oxfamamerica.org/media/images/care_story_2024-2440x1526.2e16d0ba.fill-800x500.jpg,,,
www.oxfamamerica.org,,Julie Williams,"A woman with curly hair in a black off-the-shoulder dress poses with one hand on her hip and the other in her hair, with a backdrop of lush greenery.",3,4,,,149,https://webassets.oxfamamerica.org/media/images/Julie_Williams.2e16d0ba.fill-420x262.png,,,
www.oxfamamerica.org,,RS353270_2 Years Ukraine_Oxfam water points in Mykolaiv_lpr,Two individuals filling large water bottles from Oxfam public water taps mounted on a wall.,3,4,Bad,,91,https://webassets.oxfamamerica.org/media/images/RS353270_Oxfam_water_points_in_Myk.2e16d0ba.fill-420x262.jpg,,,
www.oxfamamerica.org,,Sylvia Woods gives a speech at the 35 anniversary of the Feast of the Dutch Women’s Movement in 1981.,"An older woman raises her fist in the air against a backdrop with the text ""VROUWEN VOORUIT!"" indicating a women's empowerment or feminist rally.",5,4,,,145,https://webassets.oxfamamerica.org/media/images/Untitled_design_1_rP0m88M.2e16d0ba.fill-420x262.png,,,
www.oxfamamerica.org,,Valentines Day 2024_web_2440x1526,"Pink heart with an arrow through it and text: ""YOU + OXFAM = SWEET JUSTICE"", surrounded by a border of smaller hearts.",1,5,Bad,,118,https://webassets.oxfamamerica.org/media/images/Valentines_Day_2024_web_2440x1526.2e16d0ba.fill-420x262.png,,,
www.rff.org,,Carbon Pricing.jpg,Fuel pump nozzles with different colored handles indicating various types of gasoline and diesel.,0,5,Bad,,97,https://media.rff.org/images/Carbon_Pricing.2e16d0ba.fill-619x619.jpg,,,
www.rff.org,,Climate Finance and Financial Risk.png,New York City skyline with the Empire State Building prominent among skyscrapers under a cloudy blue sky.,0,5,Bad,,105,https://media.rff.org/images/Case_for_Support_-_Topics_-_Climat.2e16d0ba.fill-619x619.jpg,,,
www.rff.org,,Climate Risks and Impacts.jpg,Intense flames engulfing the area with dark smoke above and vegetation visible at the bottom.,0,5,Bad,,93,https://media.rff.org/images/Climate_Risks_and_Impacts_-_150dpi.2e16d0ba.fill-619x619.jpg,,,
www.rff.org,,Comprehensive Climate Strategies.jpg,People strolling on an elevated park at sunset with cityscape and water in the background.,0,5,Bad,,90,https://media.rff.org/images/Case_for_Support_-_Topics_-_Compre.2e16d0ba.fill-619x619.jpg,,,
www.rff.org,,Cover Resources 214 = listing image_tilt,"Magazine cover titled ""Resources"" featuring a colorful illustration with themes of research, energy, and environment, and text reading ""No. 214, Winter 2023/24, RFF, Published since 1959 by Resources for the Future, REFLECTING ON A YEAR OF RESEARCH"".",1,5,Bad,,250,https://media.rff.org/images/Cover_Resources_214__listing_image.2e16d0ba.fill-675x450.png,,,
www.rff.org,,Electric Power.png,Silhouetted electrical transmission towers with power lines against an orange sunset sky.,1,5,Bad,,89,https://media.rff.org/images/Electric_Power_-_150dpi.2e16d0ba.fill-619x619.png,,,
www.rff.org,,Environmental Justice.jpg,A smiling child and adult enjoying time together in a flower garden.,0,5,Bad,,68,https://media.rff.org/images/Environmental_Justice.2e16d0ba.fill-619x619.jpg,,,
www.rff.org,,Equity in the Energy Transition.png,Worker in high-visibility clothing inspecting machinery with a handheld device at an industrial site with yellow piping.,0,5,Bad,,120,https://media.rff.org/images/Case_for_Support_-_Topics_-_Equity.e4885d27.fill-619x619.jpg,,,
www.rff.org,,shutterstock_1484419673.jpg,"Earth viewed from space, showing part of a continent with city lights and the curved horizon against a starry sky.",0,4,Bad,,114,https://media.rff.org/images/shutterstock_1484419673.2e16d0ba.fill-619x619.jpg,,,
www.rff.org,,shutterstock_1901808949,"Electric vehicle battery pack and components installed in the chassis of a car, with orange high-voltage cables visible.",0,5,Bad,,120,https://media.rff.org/images/shutterstock_1901808949.2e16d0ba.fill-675x450.png,,,
